class	Blastomyces parvus UAMH130
DNA/DTC	2.592948566540941e-4
DNA/DTM	2.5304419094921565e-4
DNA/DTT	9.95436475184947e-5
LTR/Copia	1.235763794527686e-5
LTR/Gypsy	3.565034853747894e-4
LTR/unknown	0.01411306915409633
Low_complexity	0.00351176050179194
MITE/DTC	2.2092870163794384e-5
MITE/DTM	3.089409486319215e-6
MITE/DTT	4.4185740327588765e-6
Simple_repeat	0.01463212587116408
Unknown	0.00281261995036468
