class	Histoplasma ohiense HCCI_17	Histoplasma ohiense HCCI_6	Histoplasma ohiense HCG217B	Histoplasma ohiense SECH_82-Nam1_CI_4	Histoplasma ohiense SECH_91-Nam2_G217B	Histoplasma ohiense SECH_92-Nam2_G222B	Histoplasma ohiense SECH_93.Nam2_CI_6	Histoplasma ohiense SECH_94-Nam2_CI_9	Histoplasma ohiense SECH_95.Nam2_CI_10	Histoplasma ohiense SECH_96.Nam2_CI_17	Histoplasma ohiense SECH_97-Nam2_CI_18	Histoplasma ohiense SECH_98.Nam2_CI_30	Histoplasma ohiense SECH_99.Nam2_CI_35	Histoplasma ohiensis Hc1986	Histoplasma capsulatum 19VMG15	Histoplasma capsulatum Histo-485P20	Histoplasma capsulatum JB_021091-Hc_021091	Histoplasma capsulatum JB_031837-Hc_031837	Histoplasma capsulatum JB_042430-Hc_042430	Histoplasma capsulatum JB_062632-Hc_062632	Histoplasma capsulatum JB_062775-Hc_062775	Histoplasma capsulatum JB_073129-Hc_073129	Histoplasma capsulatum JB_083285_2-Hc_083285_2	Histoplasma capsulatum SECH_107-mis_Hc_duboisii-B	Histoplasma capsulatum SECH_109	Histoplasma capsulatum SECH_110	Histoplasma capsulatum HCH143	Histoplasma capsulatum HCG186A	Histoplasma capsulatum NACVFR_Histo_HC1070058_2	Histoplasma capsulatum HISSP-FGTRO0285	Histoplasma capsulatum HISSP-FGPSO2043	Histoplasma capsulatum HISSP-FGPIE2055	Histoplasma capsulatum HISSP-FGPIA2052	Histoplasma capsulatum HISSP-FGPERS2034	Histoplasma capsulatum HISSP-FGMAR2044	Histoplasma capsulatum HISSP-FGLIN2055	Histoplasma capsulatum HISSP-FGJOS2044	Histoplasma capsulatum HISSP-FGGRE2022	Histoplasma capsulatum HISSP-FGFIN2028	Histoplasma capsulatum HHISSP-FGFER2036	Histoplasma capsulatum HISSP-FGFAR0189	Histoplasma capsulatum HISSP-FGFAN2059	Histoplasma capsulatum HISSP-FGBON2001	Histoplasma capsulatum HISSP-FGBIK2051	Histoplasma capsulatum HISSP-FGAMA2041	Histoplasma capsulatum HISSP-CM6408	Histoplasma capsulatum HISSP-CM6015	Histoplasma capsulatum HISSP-11571-Belem1	Histoplasma capsulatum HISSP-1014-Belem3	Histoplasma capsulatum 07_12-RJ	Histoplasma capsulatum 104_p_06	Histoplasma capsulatum 117_p_12	Histoplasma capsulatum 122_p_10_B	Histoplasma capsulatum 136_P_07	Histoplasma capsulatum 144_p_08	Histoplasma capsulatum 256_P_18	Histoplasma capsulatum CB063	Histoplasma capsulatum CB066	Histoplasma capsulatum CB180	Histoplasma capsulatum CB052-2	Histoplasma capsulatum CB053-2	Histoplasma capsulatum CB055-2	Histoplasma capsulatum CB063-2	Histoplasma capsulatum CB064-2	Histoplasma capsulatum CB065-2	Histoplasma capsulatum CB066-2	Histoplasma capsulatum CB168-2	Histoplasma capsulatum CB174-2	Histoplasma capsulatum CB180-2	Histoplasma capsulatum CB186-2	Histoplasma capsulatum CB192-2	Histoplasma capsulatum Dr_Anuradha_Fungal_WGS_S14	Histoplasma capsulatum Dr_Anuradha_Fungal_WGS_S16	Histoplasma mississippiense II SECH_102Nam2_505	Histoplasma mississippiense II SECH_81-Nam1_WU24	Histoplasma mississippiense II SECH_83-Nam1_CI_7	Histoplasma mississippiense II SECH_84-Nam1_CI_19	Histoplasma mississippiense II SECH_85-Nam1_CI_22	Histoplasma mississippiense II SECH_86-Nam1_CI_24	Histoplasma mississippiense II SECH_87-Nam1_CI_42	Histoplasma mississippiense II SECH_88-Nam1_CI_43	Histoplasma mississippiense II SECH_89-Nam1_UCLA-531	Histoplasma mississippiense II SECH_90-Nam1_DOWNS	Histoplasma mississippiense II HCWU24	Histoplasma mississippiense II HCCI_43	Histoplasma mississippiense II HCCI_19	Histoplasma suramericanum SECH_103-Nam2_3_11G	Histoplasma suramericanum SECH_104-Nam2_27_14	Histoplasma suramericanum SECH_105-Nam2_21_14	Histoplasma suramericanum HC27_14	Histoplasma capsulatum CB053	Histoplasma capsulatum CB062	Histoplasma capsulatum 316_p_10	Histoplasma capsulatum 343_p_18	Histoplasma capsulatum 388_p_11	Histoplasma capsulatum ES2_83Z	Histoplasma capsulatum ES2_85Z	Histoplasma capsulatum ES2_86Z	Histoplasma capsulatum ES2_87	Histoplasma capsulatum ES2_88Z	Histoplasma capsulatum ES2_89Z	Histoplasma capsulatum ES2_90Z	Histoplasma capsulatum SA15
Low_complexity	0.003271185330735001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00242663371298628	0.00323665354308425	0.00238455264022165	0.00292750284407283	0.00327117910698443	0.00330218103355078	0.0031402746904877	0.0026151710038269335	0.00330110003119942	0.00297670481660021	0.0038753664182527	0.00400903774912403	0.00423040074372802	0.00403745886768057	0.0034612430185906	9.646611150211245e-4	0.0011039627704906986	0.00315603268754809	0.00366406081720603	0.00359712230215827	9.029044652779028e-4	0.00210637776164417	0.00341961264798609	0.00334332073119828	0.001051041532627372	0.00332100611305453	0.00106135001969294	0.00308872707405467	0.00313212246925642	0.00351304724109069	0.00346578257416812	0.00352406958830142	0.00307632970767362	0.00321742747842246	0.0030282101098368	0.004089601846760578	0.00328904056875966	0.00326104625417635	0.00331120568733536	0.0032756444445067416	0.00328950398984419	0.00330074572377429	0.00324631253914418	0.00317863528485387	0.00318277188741951	0.0046659577085411	0.00374151135493832	0.00376123175003766	0.00337050125658325	0.00328440471735949	0.0033271965922544	0.00336171565134515	0.00326748805438037	0.00336051259670666	0.003358941917042	0.00328321801218907	0.00337428962666526	0.00330744114242423	0.00330506649681552	0.0029723598704697	0.00358064334094624	0.00343452849079687	0.00343264594456915	0.0035421129951543236	0.00382408872658643	0.00345602257767738	0.00365287709908039	0.00372686687070768	0.00352041182844405	0.00301664374702342	0.0035101600881492	0.00348549239891996	0.0031981474349085	0.00353039625528784	0.00304466907491575	0.0039136338574982	0.00361109896578575	0.00322859216794342	0.0033145529278358725	0.00329044715771847	0.00333675882606719	0.00298746170193344	0.00315167825944817	0.00255266939074202	0.00124855979111931	0.00323891741318165	0.00287834902935729	0.00331160883939728	0.00427777863373714
MITE/DTM	2.0042968289501152e-4	1.6680920152601066e-4	NA	1.887932030819989e-5	8.786942764034801e-6	8.839492395860404e-6	1.1122361753589616e-5	1.8583496688529625e-5	3.421321023476738e-4	1.0079719380612444e-5	9.306510013450914e-6	NA	2.853907414917822e-4	NA	1.139374389594362e-4	4.835241366399412e-4	NA	1.1560237233517446e-4	4.431407650427426e-4	NA	NA	NA	2.4483768524084397e-4	1.2052727603463428e-4	4.903676587909889e-5	NA	5.111064245533543e-4	1.6488221186577533e-5	1.097170678823024e-5	6.138917176500117e-5	5.3157715689972414e-5	4.201404327176737e-5	3.064849835062371e-4	8.747027473992845e-5	9.058547260830355e-6	1.6872550867257042e-4	3.9127010934615007e-4	NA	2.1525133786985384e-5	NA	5.320994936639398e-5	9.17330937278984e-5	1.387791196344295e-4	2.0102356730448344e-4	2.7378805820202298e-5	1.7221248675484505e-4	0.00334065552086864	1.8461620933964745e-4	1.6862590989239978e-4	2.987045235265621e-4	1.4977352028771983e-5	8.72410765129077e-5	1.4902891916671424e-5	7.877497899217086e-5	5.244300498665663e-4	7.829212973447472e-5	2.5117409163842487e-5	3.3106849058388326e-5	1.727027346930561e-4	0.00249060190451401	3.064753834050176e-4	1.7050190418254254e-4	2.1392363693913315e-5	3.307033627503345e-5	1.7331857377083057e-4	1.1630904661893618e-4	1.5688686238901511e-4	2.932660289552965e-5	4.66650792383532e-5	1.2211120276735312e-4	1.446431866613896e-4	4.739037005369191e-4	3.1172946710673514e-4	1.0521178064077096e-4	1.6576508227120892e-5	2.6652220413164505e-5	1.2618414032370095e-4	2.160220159269576e-5	1.4057358558906968e-4	1.2704346587024925e-4	1.3427984240112098e-4	1.3699970803139605e-4	2.7645798537042545e-5	2.3689707157102264e-5	3.898677321298066e-5	5.26345491009802e-5	1.1949073343349832e-4	4.0591633981855625e-4	0.00257918200344836	2.225884676625828e-5	1.1474520078197727e-5	9.161095575419863e-6	7.804208683282574e-5	8.533869700269405e-5	7.816701498924242e-5	3.189909840592516e-5	1.0651301543278506e-4	6.106168893311043e-4	7.457115476956047e-4	2.775498051356631e-4	9.753830866987255e-5	2.0572057488614657e-5	2.65740044324874e-5
Simple_repeat	0.013432817343542739	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00991508006340427	0.01286392061646461	0.00784251785945884	0.011382253203658	0.01272006567834686	0.01319307636170789	0.01240291775795036	0.008784043563206667	0.01274422238874112	0.01193687463643049	0.01566144081212235	0.01614269283247369	0.013160198499632	0.01570880249551921	0.01440778978844302	0.005188697909408959	0.005387631043170875	0.01301484406289007	0.01385985213070345	0.01464925120580782	0.00497434748229937	0.01307232587487868	0.01433080718969614	0.01331220585765999	0.005377688039784124	0.01358770716800727	0.00534413731988936	0.01402348055096034	0.01279902461820622	0.01518023243610225	0.01374829688808849	0.01355199615572822	0.01234912635391669	0.01394741273374121	0.012198523696382	0.01579486427703821	0.0129266150182409	0.01283220389254012	0.01288463454470755	0.012904939485537713	0.01291766836500769	0.01313923473753807	0.01368763685090465	0.01348891171261936	0.0134857197044508	0.01641475989602311	0.01434548350931566	0.01422403539260579	0.01382166550893148	0.0135211579436816	0.01357574350110087	0.01395041441472152	0.01395794302000304	0.01385458964145049	0.01403056391410046	0.01316635872508108	0.01432620752826266	0.01276458064076553	0.01279202622000596	0.01359363071550836	0.01521625485342918	0.01492016127580571	0.01473304457636662	0.01534927152407723	0.016413131614088	0.01483337795860015	0.01567828491542696	0.01599585177818621	0.01539783675991573	0.01319441879049047	0.01454849904832469	0.01389472511380638	0.01290896293622802	0.01400161529223748	0.01219906988153182	0.01463971372232299	0.01402842576109254	0.01373949189371435	0.012729174395767701	0.01299876805307593	0.01277239927599289	0.01097037628050325	0.01181999981621005	0.00939819999414974	0.00587716815327039	0.01112373739033168	0.01032605365376243	0.01008881602830277	0.0130322522189647
TIR/Tc1_Mariner	7.188826962638419e-4	NA	2.6587799565543665e-4	NA	NA	2.5155440955547777e-4	4.6227580353037294e-4	NA	NA	6.274914961539884e-4	NA	NA	4.342197320814576e-4	3.79892744755883e-4	NA	2.2373181173393e-4	NA	NA	NA	NA	NA	0.0013346049561736436	NA	4.897103169076659e-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.649541676983923e-4	NA	6.809916000097458e-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.225204060170845e-4	NA	NA	4.071308368384498e-4	2.878535760323647e-4	8.311335825264782e-4	1.7331897068295244e-4	2.0243698835463133e-4	8.836777310898748e-4	0.00103424829761129	1.400859308186369e-4	3.382081008259236e-4	NA	NA	NA	3.4304557114383014e-4	1.3158292194754596e-4	0.00153759507717774	1.5137639881275357e-4	3.0627468622453123e-4	2.4409567679512705e-4	7.18013028191021e-4	3.0162813637716e-4	3.7830291048984146e-4	NA	5.501149767125876e-4	NA	NA	3.086924568086608e-4	NA	NA	NA	NA	NA	NA	1.737735908042674e-4	1.4890673070178567e-4	0.00122913176989146	0.00177268096879404	NA	4.146946126659133e-4	NA	3.4660204250316467e-4	7.20607360597143e-4	2.5411629885908963e-4	4.2629703922156335e-4	3.680144298966097e-4	2.834166613307357e-4	NA	4.75654058924689e-4	NA	4.473454745979531e-4	NA	5.265952937971596e-4	NA	NA
Unknown	0.026655618725343083	0.02005869223062502	0.03372762455547139	0.02272186107741204	0.02254773112585655	0.04662957071342565	0.03314489176779029	0.03092689242517893	0.03147337026070795	0.02256702414784082	0.03010443673533573	0.03401119588629538	0.01955560217632322	0.03620602218604051	0.05753176557989667	0.03204156363938362	0.01152694659167981	0.01856130593746144	0.01499784967329982	0.01850765343729723	0.00841209537423099	0.024925056344315508	0.02757940984602491	0.05351284369058276	0.03270280294822068	0.06221130134501723	0.0480531627808886	0.00915915298606804	0.07027338541089945	0.02303719214982797	0.012514474805326383	0.04968532346075933	0.07219694121945931	0.06105915702892908	0.01633251915830804	0.01371122145210496	0.05672706329576199	0.04454823553891904	0.02012926434188914	0.03961724284280706	0.01162738203279714	0.07403813844493469	0.06210063203028584	0.04774707011656137	0.0758081216469888	0.05646712485159217	0.06571894349120533	0.0923410164977603	0.03460031674454025	0.05757371669264795	0.03248316937644818	0.03236794354278036	0.02984947799297647	0.03310795325924467	0.03006476959970389	0.03340571675533583	0.0539135313961725	0.05098434149069152	0.0546259807267432	0.0318060359727518	0.05632225142364327	0.02844668697733209	0.0475817817326314	0.04337934137649076	0.05043601287634523	0.04933232494903446	0.04182046380890748	0.04742192468071407	0.04549366340656616	0.04541611872837518	0.04409011322646415	0.0312993201049338	0.03027937165193922	0.01552392925411745	0.02936510797851245	0.02619696014162377	0.0271110791409435	0.02926044128372552	0.03020269896244346	0.02729570807165175	0.02885046745994613	0.02943483957014919	0.0301156284484496	0.02580610640853601	0.05201073660905627	0.04393425709680126	0.04548575321293346	0.05793322453376905	0.09791896332150124	0.02654348893423526	0.03126716725072974	0.05016532654412868	0.03201391901928275	0.03222726098734854	0.03131778600502522	0.04856580662352038	0.03829281279478905	0.0904017297684526	0.06307665678493654	0.02692790678659654	0.03220696161033692	0.04444948654387738	0.05741773048672975
MITE/DTC	NA	NA	1.2310806594305694e-5	1.9620892237973088e-4	NA	1.3934009005688348e-5	NA	1.7249043468874572e-4	NA	NA	1.589183896213234e-4	1.7436121758045822e-5	1.4092118318777166e-5	2.658868940273407e-4	4.463260796750301e-4	NA	NA	NA	NA	NA	NA	NA	NA	1.3367650042260995e-4	NA	NA	3.81470498358031e-4	3.949629454170369e-5	2.3816094453969655e-4	1.9602884494281344e-5	NA	NA	3.6880791148341654e-4	8.263921149793052e-4	3.9392214693886135e-5	2.4678817601341593e-5	NA	NA	2.0484358087394883e-5	3.953111214151859e-5	1.8978507475822564e-5	NA	NA	1.107308003372403e-4	1.6200768192170066e-5	3.715314265487983e-4	1.6797989673780487e-5	NA	1.4049534057913377e-4	3.858049301149714e-4	NA	NA	NA	NA	NA	NA	NA	2.9260410163637813e-5	1.5383948913009738e-5	NA	1.1750760078401544e-4	1.0873375247056882e-4	1.5738916844950906e-5	1.5749442090855424e-5	1.5429663792073544e-5	1.575236637391598e-5	1.573054133780476e-5	1.583987773159745e-5	1.576475710599048e-5	1.598147198144987e-5	1.5669968096153425e-5	NA	NA	1.637353798101715e-5	NA	1.7496581377492274e-5	1.7003001878096545e-5	1.9485185836611576e-5	1.894194415914862e-5	1.71187938773476e-5	1.809387777798194e-5	1.8460372967481212e-5	1.8749255849934117e-5	1.60662525230874e-5	1.6028290536968347e-5	2.8220076806649243e-4	NA	NA	2.0393581868822208e-5	7.92893984994729e-6	1.054830881698373e-4	1.3915148961149112e-5	NA	NA	NA	1.0422775091201537e-4	1.6005336862668e-4	6.550218179736366e-5	6.206796279017486e-5	1.0115891878958015e-4	NA	1.0874192621973837e-4	1.4046764311055507e-4
MITE/DTH	NA	NA	7.410101810960981e-5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.353386206471027e-5	NA	NA	NA	NA	NA	NA	NA	NA	2.189841470852109e-5	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.613640042271694e-6	NA	NA	NA	NA	1.994842867271158e-5	NA	7.835605909739906e-6	7.836262416277933e-6	NA	NA	7.85024040309863e-6	NA	NA	2.801174910723636e-4	NA	NA	NA	NA	NA	4.202616186736839e-4	1.433081135968454e-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.254908940421308e-4	NA	NA	NA	NA	NA	1.360630899667473e-4	7.825168957275276e-6	7.796031047554431e-6	7.837695325689482e-6	NA	NA	NA	NA	NA	NA	NA	NA
MITE/DTT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00107032926621321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.814554344223842e-6	NA	NA	2.2771942033772555e-5	NA	1.3071035684549847e-5	NA	NA	NA	NA	1.6992199142100728e-5	NA	NA	NA	2.204662646729503e-5	NA	NA	NA	1.861364856121667e-5	NA	NA	NA	1.8267544395031315e-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.2424062113602098e-5	NA	NA	NA	NA	2.1656544209672353e-5	2.0898123281116054e-5	2.5788260550143172e-5	4.170445793775528e-6	2.2023969327022768e-5	9.83604256604675e-6	7.003253613145413e-6	9.046469594038264e-6
LTR/TRIM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.847819401545704e-6	NA	2.8718828347417554e-6	2.9597666924566e-6	NA	3.158023582521115e-6	NA	2.891207344398606e-6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.812648268313988e-6	2.7984306820499668e-6	NA	2.8033800353085714e-6	2.82388126737062e-6	2.8036572868209395e-6	2.7369314813014575e-6	2.7131131489758067e-6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.824217524057921e-6	2.823636477416079e-6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.7947031990268844e-6	NA	2.799176902031958e-6	NA	NA	NA	NA	NA	NA	NA	NA
TIR/PiggyBac	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.144823399421373e-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.6305722822442607e-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00323769769983741	NA	1.6278145548455613e-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.331052895245523e-4	NA	4.824945776059852e-4	4.360547761928364e-4	4.608923900520101e-4	4.7022785953530863e-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.268531896860663e-4	NA	NA	NA	NA	NA	NA	NA
LTR/Copia_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.0887950776514754e-6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LTR/Copia_2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LTR/Copia_4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LTR/Gypsy_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.5175295406682655e-5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LTR/Gypsy_2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LTR/Gypsy_3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.617994623584941e-5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DNAauto/Helitron	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.63532789117167e-6	NA	1.9826921939552186e-6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DNAnona/Helitron	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.539872432112852e-5	NA	2.3497011745384188e-5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LTR/Solo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.939670750039571e-6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MITE/DTA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00449507839702508	NA	NA	NA	NA	NA	5.796032301877689e-5	9.196332843769104e-5	NA	6.366842884133098e-5	NA	NA	NA	6.069291058372225e-5	NA	NA	NA	7.899023707863765e-5	NA	NA	NA	6.368119615987345e-5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.886686871544895e-5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Satellite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.697084359156723e-5	NA	NA
