class	Aspergillus fumigatus Af293
DNA/DTC	8.872907015895683e-4
DNA/DTM	8.664296882779277e-5
DNA/Helitron	3.940791747941243e-5
LINE/unknown	0.004249487101529973
LTR/Copia	0.0016602031556417402
LTR/Gypsy	0.01025517885715542
LTR/unknown	0.0038095000850435112
Low_complexity	9.28127921775488e-4
MITE/DTC	9.52868471004791e-6
MITE/DTH	4.968528455953553e-6
MITE/DTM	3.1853031745017295e-5
Simple_repeat	0.005012734746804811
TIR/Tc1_Mariner	7.707684999924111e-4
Unknown	0.008196030091314066
