class	Emmonsia crescens UAMH4076
DNA/DTA	4.035607795211065e-4
DNA/DTC	1.0869655704470266e-4
DNA/DTM	0.00234907805974068
DNA/DTT	8.32184869824393e-5
DNA/Helitron	2.2793985006866783e-4
LINE/unknown	0.00105627338372085
LTR/Gypsy	0.02958655698811765
LTR/unknown	0.02594689617707187
Low_complexity	0.00410653163210531
MITE/DTM	1.0920019331337532e-4
Simple_repeat	0.02064642070592088
Unknown	0.05748839140619957
