BASE,SPECIES,STRAIN,PHYLUM,LOCUS
Histoplasma_capsulatum_CB054-2,Histoplasma_capsulatum,CB054-2,Eurotiomycetes,CB054-2
Histoplasma_capsulatum_CB055-2,Histoplasma_capsulatum,CB055-2,Eurotiomycetes,CB055-2
Histoplasma_capsulatum_CB056-2,Histoplasma_capsulatum,CB056-2,Eurotiomycetes,CB056-2
Histoplasma_capsulatum_CB062-2,Histoplasma_capsulatum,CB062-2,Eurotiomycetes,CB062-2
Histoplasma_capsulatum_CB063-2,Histoplasma_capsulatum,CB063-2,Eurotiomycetes,CB063-2
Histoplasma_capsulatum_CB064-2,Histoplasma_capsulatum,CB064-2,Eurotiomycetes,CB064-2
Histoplasma_capsulatum_CB065-2,Histoplasma_capsulatum,CB065-2,Eurotiomycetes,CB065-2
Histoplasma_capsulatum_CB066-2,Histoplasma_capsulatum,CB066-2,Eurotiomycetes,CB066-2
Histoplasma_capsulatum_CB138-2,Histoplasma_capsulatum,CB138-2,Eurotiomycetes,CB138-2
Histoplasma_capsulatum_CB144-2,Histoplasma_capsulatum,CB144-2,Eurotiomycetes,CB144-2
Histoplasma_capsulatum_CB150-2,Histoplasma_capsulatum,CB150-2,Eurotiomycetes,CB150-2
Histoplasma_capsulatum_CB156-2,Histoplasma_capsulatum,CB156-2,Eurotiomycetes,CB156-2
Histoplasma_capsulatum_CB162-2,Histoplasma_capsulatum,CB162-2,Eurotiomycetes,CB162-2
Histoplasma_capsulatum_CB168-2,Histoplasma_capsulatum,CB168-2,Eurotiomycetes,CB168-2
Histoplasma_capsulatum_CB174-2,Histoplasma_capsulatum,CB174-2,Eurotiomycetes,CB174-2
Histoplasma_capsulatum_CB180-2,Histoplasma_capsulatum,CB180-2,Eurotiomycetes,CB180-2
Histoplasma_capsulatum_CB186-2,Histoplasma_capsulatum,CB186-2,Eurotiomycetes,CB186-2
Histoplasma_capsulatum_CB192-2,Histoplasma_capsulatum,CB192-2,Eurotiomycetes,CB192-2
Histoplasma_capsulatum_Dr_Anuradha_Fungal_WGS_S11,Histoplasma_capsulatum,Dr_Anuradha_Fungal_WGS_S11,Eurotiomycetes,Dr_An_WGS_S11
Histoplasma_capsulatum_Dr_Anuradha_Fungal_WGS_S13,Histoplasma_capsulatum,Dr_Anuradha_Fungal_WGS_S13,Eurotiomycetes,Dr_An_WGS_S13
Histoplasma_capsulatum_Dr_Anuradha_Fungal_WGS_S14,Histoplasma_capsulatum,Dr_Anuradha_Fungal_WGS_S14,Eurotiomycetes,Dr_An_WGS_S14
Histoplasma_capsulatum_Dr_Anuradha_Fungal_WGS_S16,Histoplasma_capsulatum,Dr_Anuradha_Fungal_WGS_S16,Eurotiomycetes,Dr_An_WGS_S16
